Condition,Voltage,Current,Temperature
1,86.89224114413253,495.14503004242164,37.27819902151115
1,88.36353149623307,495.2937069797055,52.19576734439437
1,86.61140875619736,494.4959292614043,43.605841364121936
1,87.45407898458127,498.3686115500456,54.33669828561592
1,88.11532138867328,498.5967646562975,46.92865069045365
1,86.81101357030884,496.5428204045944,37.406933724237554
1,85.29526777535187,494.9136091334592,33.023586757504894
1,87.00410897286201,497.0345989843793,53.51165165119777
1,85.58801851781692,494.26632651590444,34.76402133414627
1,87.59104211014439,497.71702723332584,37.899530399861014
1,87.28007627374643,500.95706628110383,29.106243241093356
1,87.49437702509543,500.48048898289437,40.782773375435724
1,85.57173164508058,495.52872854428574,38.52307661680524
1,85.8759442904278,496.8647672006766,43.78493676895114
1,87.33651878384183,494.84072467661014,34.591547275561126
1,85.87223356714406,496.94962254985415,30.40953857926703
1,86.44919867294868,496.36248108831006,48.35097269717485
1,87.37193790284716,494.76134168605785,31.866918548476214
1,86.45502091283716,490.2820788965338,33.998652101766325
1,88.3016178371674,496.0246288517345,47.33415460020393
1,87.7266227999367,495.7544849149166,30.213738742398252
1,87.78794681047029,498.23968853025576,52.64881583449787
1,87.09121908251898,494.0990740136155,47.37620038389054
1,87.5889680403411,494.8730965167886,48.450359164917664
1,85.9186624042585,494.96361493261566,31.579257213201828
1,86.10697643493829,494.5617651160008,29.878387988182595
1,87.24919023760268,493.32487723736085,49.826111120250665
1,85.37110069314247,499.08599911162736,30.505181750668388
0,86.18533060215717,498.08202484145465,34.59510682703611
1,87.19780986795604,495.8991320264901,47.04910343792214
0,87.31126847912971,494.3830133683174,39.685610322230815
1,88.31280398882988,494.8238945329252,41.93766852395634
1,87.927796632497,498.5049033622108,49.6487171573367
0,86.65098374352196,496.96074931891644,30.859859081445173
0,85.57880546172176,494.1990697313523,34.22219266909293
1,87.14116397601919,497.4361887335411,30.69513472637017
0,86.68535367778009,493.68353994627336,38.85727520939753
1,85.925496866125,491.95939321555875,36.076972933485536
